"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"TX1730001","CITY OF MATADOR","Region 6","Texas","Community water system","740","-","Motley","22","10","10"
"TX1011183","VILLA UTILITIES","Region 6","Texas","Community water system","84","-","Harris","6","246","7"
"TX0360026","VISTA UTILITIES","Region 6","Texas","Community water system","75","-","Chambers","6","233","7"
"TX1080221","QUIET VILLAGE II","Region 6","Texas","Community water system","400","-","Hidalgo","6","11","6"
"TX1910024","UMBARGER COMMUNITY WATER SUPPLY","Region 6","Texas","Community water system","180","-","Randall","9","61","9"
"TX1330025","SPLIT ROCK WATER SYSTEM","Region 6","Texas","Community water system","81","-","Kerr","14","8","7"
"TX2260026","TWIN BUTTES WATER SYSTEM","Region 6","Texas","Community water system","26","-","Tom Green","18","44","9"
"TX1011684","J & L TERRY LANE","Region 6","Texas","Community water system","48","-","Harris","7","230","7"
"TX0200563","BATEMAN WATER WORKS","Region 6","Texas","Community water system","72","-","Brazoria","6","133","8"
"TX2200336","BEAR CREEK ESTATES","Region 6","Texas","Community water system","57","-","Tarrant","10","4","8"
"TX1260122","MARTIN CREEK ESTATES","Region 6","Texas","Community water system","78","-","Johnson","15","3","10"
"TX1260090","JOHN DAME","Region 6","Texas","Community water system","144","-","Johnson","18","0","10"
"TX1260086","SANDERS VIEW SUBDIVISION","Region 6","Texas","Community water system","60","-","Johnson","11","0","10"
"TX1260084","BUFFALO CREEK","Region 6","Texas","Community water system","147","-","Johnson","10","0","10"
"TX1260082","ROCK CREEK ESTATES","Region 6","Texas","Community water system","108","-","Johnson","9","1","9"
"TX1260080","BELL MANOR SUBDIVISION","Region 6","Texas","Community water system","69","-","Johnson","11","0","10"
"TX1260012","CROWLEY II ACRE SUBDIVISION","Region 6","Texas","Community water system","285","-","Johnson","19","10","9"
"TX0430025","CITY OF ALLEN","Region 6","Texas","Community water system","93,528","-","Collin","35","3","9"
"TX0570176","LANCASTER MUD 1","Region 6","Texas","Community water system","1,494","-","Dallas","5","18","5"
"TX1011513","HARRIS COUNTY MUD 64","Region 6","Texas","Community water system","6,174","-","Harris","13","2","7"
"TX1013338","HARRIS COUNTY MUD 396","Region 6","Texas","Community water system","3,060","-","Harris","5","0","5"
"TX1011638","COUNTRY LIVING MOBILE HOME PARK","Region 6","Texas","Community water system","72","-","Harris","7","22","6"
"TX0790268","FORT BEND COUNTY MUD 81 WESTON LAKES","Region 6","Texas","Community water system","3,264","-","Fort Bend","25","0","8"
"TX0790038","FORT BEND COUNTY MUD 2","Region 6","Texas","Community water system","6,747","-","Fort Bend","18","1","9"
"TX2150001","CITY OF BRECKENRIDGE","Region 6","Texas","Community water system","5,800","-","Stephens","21","22","12"
"TX1550020","CHALK BLUFF WSC","Region 6","Texas","Community water system","3,552","-","McLennan","33","6","6"
