"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"CA3500581","RANCHO SAN JOAQUIN MWC","Region 9","California","Community water system","96","-","-","3","12","5"
"CA2701687","VALLEY OAKS MHP WS","Region 9","California","Community water system","120","-","-","2","25","9"
"CA1700592","BAYVIEW RECREATIONAL PARK","Region 9","California","Community water system","99","-","-","5","17","4"
"CA2702268","NEW CAMALDOLI HERMITAGE WS","Region 9","California","Community water system","162","-","-","6","10","10"
"CA2700509","OAK MANOR WS","Region 9","California","Community water system","71","-","-","3","23","13"
"CA2701040","MCCOY RD  WS #05","Region 9","California","Community water system","72","-","-","2","19","18"
"CA2702466","SAN VICENTE MWC","Region 9","California","Community water system","90","-","-","6","21","9"
"CA2702299","POST RANCH INN WS","Region 9","California","Community water system","150","-","-","15","6","12"
"CA2701935","MOUNT TORO RANCHOS MWA","Region 9","California","Community water system","45","-","-","5","9","10"
"CA2700612","LAGUNA SECA WC","Region 9","California","Community water system","162","-","-","5","29","9"
"CA2701355","PRINCES CAMP RESORT WS","Region 9","California","Community water system","126","-","-","2","24","16"
"CA2700687","PESANTE RD WS #02","Region 9","California","Community water system","120","-","-","2","14","11"
"CA2701918","LOMAS DEL SOL MWS","Region 9","California","Community water system","93","-","-","3","17","10"
"CA2702055","VIERRA KNOLLS MWC","Region 9","California","Community water system","66","-","-","2","7","9"
"CA2700738","SAN MIGUEL WS #01","Region 9","California","Community water system","100","-","-","4","58","10"
"CA2701956","PIONEER PLACE MWS","Region 9","California","Community water system","66","-","-","3","21","14"
"CA2700534","COLONIAL OAK WC INC","Region 9","California","Community water system","198","-","-","6","22","11"
"CA2700775","TIERRA VERDE MWC","Region 9","California","Community water system","48","-","-","3","19","7"
"CA2701789","HOLLY HILLS MWC","Region 9","California","Community water system","108","-","-","4","10","9"
"CA2700606","HIDDEN VIEWS MHP WS","Region 9","California","Community water system","75","-","-","3","33","10"
"CA2701279","COASTLANDS MWS (POST CREEK)","Region 9","California","Community water system","129","-","-","6","10","4"
"CA2700548","DOLAN RD MWC","Region 9","California","Community water system","120","-","-","2","20","8"
"CA2702520","ARROYO SECO ESTATES MWS","Region 9","California","Community water system","70","-","-","5","12","8"
"CA2701241","ENCINAL RD WS #01","Region 9","California","Community water system","41","-","-","4","32","14"
"CA2701888","CACHAGUA MUTUAL WS (#4)","Region 9","California","Community water system","55","-","-","6","24","9"
"CA2701897","BERRY DR WS #02","Region 9","California","Community water system","30","-","-","2","6","10"
"CA4700531","TENNANT C.S.D.","Region 9","California","Community water system","94","-","-","3","29","8"
"CA2701498","HARBOR VIEW WA","Region 9","California","Community water system","75","-","-","3","22","10"
"CA2100519","ESTERO MUTUAL","Region 9","California","Community water system","125","-","-","9","51","8"
"CA1700596","BLUE LAKES VILLAGE","Region 9","California","Community water system","65","-","-","5","26","4"
"CA1210006","FORTUNA, CITY OF","Region 9","California","Community water system","11,649","FORTUNA","-","20","2","28"
"CA2701820","CORDA RD WS","Region 9","California","Community water system","60","-","-","2","17","8"
"CA2701658","ARROYO CENTER WC","Region 9","California","Community water system","130","-","-","4","29","5"
"CA2700522","CABANA HOLIDAY WS","Region 9","California","Community water system","400","-","-","3","5","9"
"CA2701742","CALIFORNIA ORCHARD WS","Region 9","California","Community water system","290","-","-","12","14","11"
"CA2701403","PINE ST WS #01","Region 9","California","Community water system","65","-","-","6","4","9"
"CA2701036","APPLE AVE WS #03","Region 9","California","Community water system","60","-","-","2","40","10"
"CA2701800","TULARCITOS MWC","Region 9","California","Community water system","85","-","-","5","20","10"
