"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"TX1520292","HEARTLAND HOUSE","Region 6","Texas","Community water system","26","-","Lubbock","4","33","1"
"TX1980006","BETHANY HEARNE WSC","Region 6","Texas","Community water system","475","-","Robertson","9","0","5"
"TX0100052","SAN JULIAN CREEK ESTATES","Region 6","Texas","Community water system","72","-","Bandera","8","0","8"
"TX0610099","HIDDEN VALLEY WATER SYSTEM","Region 6","Texas","Community water system","189","-","Denton","22","0","8"
"TX0200065","BERNARD ACRES","Region 6","Texas","Community water system","228","-","Brazoria","9","6","5"
"TX0200067","LAS PLAYAS","Region 6","Texas","Community water system","321","-","Brazoria","9","1","6"
"TX0200146","OAK BEND ESTATES","Region 6","Texas","Community water system","165","-","Brazoria","8","0","6"
"TX0100053","ELMWOOD ESTATES","Region 6","Texas","Community water system","117","-","Bandera","8","3","6"
"TX0100065","COMANCHE CLIFFS","Region 6","Texas","Community water system","165","-","Bandera","8","1","6"
"TX0200019","WEYBRIDGE SUBDIVISION WATER SYSTEM","Region 6","Texas","Community water system","87","-","Brazoria","6","0","9"
"TX0200024","WAGON WHEEL ESTATES WATER SYSTEM","Region 6","Texas","Community water system","309","-","Brazoria","9","4","9"
"TX0360005","GRAY UTILITY SERVICE","Region 6","Texas","Community water system","2,739","-","Chambers","17","28","7"
"TX0360084","TRINITY COVE SUBDIVISION","Region 6","Texas","Community water system","96","-","Chambers","6","27","5"
"TX0360093","CARRIAGE TRAIL SUBDIVISION","Region 6","Texas","Community water system","96","-","Chambers","5","19","6"
"TX0360096","PLANTATION ON COTTON BAYOU","Region 6","Texas","Community water system","1,497","-","Chambers","20","8","7"
"TX0360100","HACKBERRY CREEK SUBDIVISION","Region 6","Texas","Community water system","165","-","Chambers","6","57","6"
"TX0610084","WOODLAND HILLS","Region 6","Texas","Community water system","108","-","Denton","8","5","6"
